id,sessionid,T,sex,age,political,x1,x2,e1,e2,y1,y2,shareX
213,"YGNEO",2,1,21,3,13,17,0,2.55,1,1.55,.3921569
20,"CELBZ",2,1,21,4,19,24,0,3.6,0,3.6,0
127,"LMDOH",2,1,21,4,5,16,0,2.4,0,2.4,0
85,"LMDOH",2,2,21,3,14,21,0,3.15,1,2.15,.3174603
227,"YGNEO",3,2,21,3,14,18,0,2.7,0,2.7,0
268,"YGNEO",4,2,21,2,13,23,0,3.45,2,1.45,.5797101
236,"YGNEO",3,1,21,4,19,20,0,3,0,3,0
233,"YGNEO",1,1,21,4,17,18,0,2.7,0,2.7,0
247,"YGNEO",1,2,21,3,15,17,0,2.55,0,2.55,0
248,"YGNEO",2,2,21,4,15,16,0,2.4,0,2.4,0
147,"EXNFO",4,1,21,4,22,23,0,2.4,1.2,1.2,.5
134,"LMDOH",2,1,21,4,17,17,2.55,2.55,2.55,2.55,.5
189,"EXNFO",2,2,21,3,18,24,0,3.6,1,2.6,.2777778
238,"YGNEO",3,1,21,4,4,20,0,3,1,2,.3333333
327,"JMTHA",1,2,21,3,12,12,1.8,1.8,1.8,1.8,.5
94,"LMDOH",1,1,21,4,14,15,0,2.25,1,1.25,.4444444
226,"YGNEO",3,1,21,4,21,22,0,3.3,0,3.3,0
253,"YGNEO",2,1,21,3,16,24,0,3.6,1.46,2.14,.4055556
285,"JMTHA",2,1,21,4,10,21,0,3.15,0,3.15,0
86,"LMDOH",3,2,21,1,6,15,0,2.25,1,1.25,.4444444
271,"YGNEO",1,1,21,4,9,14,0,2.1,0,2.1,0
148,"EXNFO",2,2,21,4,17,19,0,2.85,0,2.85,0
96,"LMDOH",3,2,21,3,13,19,0,2.85,1,1.85,.3508772
250,"YGNEO",3,2,21,3,12,21,0,3.15,0,3.15,0
246,"YGNEO",3,2,21,4,13,23,0,3.45,1.6,1.85,.4637681
101,"LMDOH",3,1,21,2,9,24,0,3.6,1,2.6,.2777778
25,"CELBZ",1,2,21,3,16,17,0,2.55,1,1.55,.3921569
79,"LMDOH",3,2,21,2,6,9,0,1.35,.4,.95,.2962963
301,"JMTHA",2,2,21,3,20,23,0,3.45,1,2.45,.2898551
237,"YGNEO",1,2,21,2,9,16,0,2.4,.4000001,2,.1666667
149,"EXNFO",2,2,21,3,17,21,0,3.15,0,3.15,0
